RunDirName	RunStats_RunName	RunParameters_Date	RunParameters_InstrumentName	RunParameters_RunDescription	NumSamplesFound	RunParameters_ThroughputSelection	RunParameters_KitConfiguration	RunParameters_PreparationWorkflow	RunParameters_ChemistryVersion	RunParameters_LowDiversity	RunParameters_LibraryType	RunParameters_PlatformVersion	RunParameters_Cycles_R1	RunParameters_Cycles_R2	RunParameters_Cycles_I1	RunParameters_Cycles_I2	RunStats_TotalYield	Metrics_TotalYield (gb)_1	Metrics_TotalYield (gb)_2	RunStats_AssignedYield	Metrics_AssignedYield (gb)_1	Metrics_AssignedYield (gb)_2	RunStats_NumPolonies	RunStats_NumPolonies_L1	RunStats_NumPolonies_L2	Unassigned_TotalCount_1+2	RunStats_PercentAssignedReads	RunStats_PercentAssignedReads_L1	RunStats_PercentAssignedReads_L2	RunStats_PercentQ30	RunStats_PercentQ30_L1	RunStats_PercentQ30_L2	RunStats_PercentQ40	RunStats_PercentQ40_L1	RunStats_PercentQ40_L2	RunStats_QualityScoreMean	RunStats_QualityScoreMean_L1	RunStats_QualityScoreMean_L2	RunStats_PercentMismatch	RunStats_PercentMismatch_L1	RunStats_PercentMismatch_L2	RunStats_PercentMismatchI1	RunStats_PercentMismatchI2	RunStats_PercentMismatchI1_L1	RunStats_PercentMismatchI1_L2	RunStats_PercentMismatchI2_L1	RunStats_PercentMismatchI2_L2	RunStats_PercentUnexpectedIndexPairs	RunStats_PercentUnexpectedIndexPairs_L1	RunStats_PercentUnexpectedIndexPairs_L2	RunStats_MeanReadLength	RunStats_MeanReadLength_L1	RunStats_MeanReadLength_L2	RunStats_PercentReadsTrimmed	RunStats_FlowCellID	RunStats_AnalysisVersion
20250902_AV251604_3504_WM_ANALYSIS	3504_WM	2025-09-02T16:16:32.76414912Z	AV251604	William Marsh. 2x75 high. Side B. Lane 1 8.75pM lane 2 9.75pM. Short insert recipe	12	High	150Cycles	ThirdParty	CloudbreakFS	False	Linear	3.4.0	76	76	7	7	163.14993193	76.038721	87.111211	153.2930255	71.350756	81.942269	1087705571	506941539	580764032	36182657	93.95817528638915	93.83453009953482	94.0661035978206	96.22200070537286	96.65596827461138	95.84319593217049	83.25051590822459	84.92345851474339	81.79022557879985	41.78569674967676	42.08533229330283	41.52414869357245	1.8420697057936104	1.7245786844975417	1.9443736492638315	0.9627032400910815	0.9333409610506992	0.897499423206951	1.0196188227694445	0.8764801046545366	0.9829740796015544	0.5410859479729556	0.516040765797257	0.5629475690395372	75.0	75.0	75.0		2450578302	2.2.0.1940753917
20250903_AV251604_3508_JB_ANALYSIS	3508_JB	2025-09-03T16:29:09.867870407Z	AV251604	Batch 3 and 4 Pool 1. 2x75 high. lane 1 10pM lane 2 11pM 5percent phiX. LDHM short insert recipe	97	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.0	76	76	10	10	136.600899502	65.896055	70.704844	79.007770125	38.196731	40.811039	910753782	439319304	471434478	365952132	57.83827851290767	57.965005334707534	57.720184606438565	96.33545539387798	96.59056406499269	96.09772529761106	85.33381392498754	86.6488321229487	84.10837771606514	42.02668609635998	42.17638037819223	41.88718932474854	1.8405840779922695	1.8084593099011435	1.870647410180565	1.0982353861524663	0.8520765618501563	1.0999049532243401	1.0966795537341234	0.8171906873590333	0.8845859323270256	0.010080221659732838	0.009931273131580851	0.010219023480077331	75.0	75.0	75.0		2450534797	2.2.0.1940753917
20250903_AV251604_3508_JB_ANALYSIS_V2	3508_JB	2025-09-03T16:29:09.867870407Z	AV251604	Batch 3 and 4 Pool 1. 2x75 high. lane 1 10pM lane 2 11pM 5percent phiX. LDHM short insert recipe	49	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.0	76	76	10	10	136.600899502	65.896055	70.704844	109.097489837	52.778108	56.319381	910753782	439319304	471434478	169787835	79.86570348384235	80.09280784984581	79.65406997661296	96.33545539387798	96.59056406499269	96.09772529761106	85.33381392498754	86.6488321229487	84.10837771606514	42.02668609635998	42.17638037819223	41.88718932474854	1.826577105858085	1.7916621031028863	1.8592928327678935	1.0874595873547857	0.8467886144964288	1.08825741652083	1.0867161081009464	0.8097292570828514	0.8813234053642705	0.019926131912565585	0.019596908038441215	0.020232928317983564	75.0	75.0	75.0		2450534797	2.2.1.2035424704
20250908_AV251604_3509_JB_ANALYSIS	3509_JB	2025-09-08T15:22:15.672354564Z	AV251604	Batch 3 and 4 Pool2 . 2x75 high. lane 1 10pM lane 2 11pM. 2 percent PhiX. LDHM short insert recipe	97	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.0	76	76	10	10	160.455715332	78.626013	81.829703	54.600258107	26.908326	27.691932	1069812662	524214095	545598567	666917293	34.02807986207963	34.22298498097423	33.840813955070374	93.48257964938288	93.80474004868819	93.17304617114216	77.50934795285993	78.22620836244397	76.82058454037936	40.48487476301715	40.666426274071604	40.31043907564613	2.0356730125020057	1.912467267382974	2.15538662020498	0.9701571601025423	1.1609633887611552	0.9379029835451235	1.0011471498068547	1.0608388233264954	1.257163620270558	0.007441489788611233	0.0074954108206495285	0.007389682165349236	75.0	75.0	75.0		2504430479	2.2.0.1940753917
20250908_AV251604_3509_JB_ANALYSIS_V2	3509_JB	2025-09-08T15:22:15.672354564Z	AV251604	Batch 3 and 4 Pool2 . 2x75 high. lane 1 10pM lane 2 11pM. 2 percent PhiX. LDHM short insert recipe	49	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.0	76	76	10	10	160.455715332	78.626013	81.829703	123.191199277	60.440653	62.750546	1069812662	524214095	545598567	230927780	76.77550828988038	76.87069421511835	76.68405313095333	93.48257964938288	93.80474004868819	93.17304617114216	77.50934795285993	78.22620836244397	76.82058454037936	40.48487476301715	40.666426274071604	40.31043907564613	1.894505162815226	1.7615752042672157	2.0225358528326502	0.9281102420067214	1.0521136613108213	0.893092951771978	0.9617550464839265	0.9464524061515368	1.1536335746684538	0.02348065310148666	0.022851541220004778	0.024085107246991724	75.0	75.0	75.0		2504430479	2.2.1.2035424704
20250909_AV251604_3510_JB_ANALYSIS	3510_JB	2025-09-09T14:59:49.107772541Z	AV251604	Batch 3 and 4 Pool 3 - 2 X 75 High Output - LDHM - Short Insert Recipe-11pM- 2percent PhiX	49	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.0	76	76	10	10	158.20938369	78.900626	79.308758	36.559727143	18.420805	18.138922	1054851652	526010582	528841070	745951945	23.108379982894505	23.346799893847002	22.871236154181446	94.34091038866445	94.78643469064912	93.89777064276292	79.42496114325657	80.43327908309394	78.42203997002981	40.919747835486795	41.157095403161804	40.68367061060518	2.147371892469192	2.088747841138685	2.2068946244926417	1.0042939481270103	1.2491340316297441	1.0063258958363472	1.0022728759035882	1.1847641330267507	1.3131594066397476	0.004016868146308785	0.004382801561205094	0.0036528932974135312	75.0	75.0	75.0		2505667119	2.2.0.1940753917
20250909_AV251604_3510_JB_ANALYSIS_V2	3510_JB	2025-09-09T14:59:49.107772541Z	AV251604	Batch 3 and 4 Pool 3 - 2 X 75 High Output - LDHM - Short Insert Recipe-11pM- 2percent PhiX	49	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.0	76	76	10	10	158.20938369	78.900626	79.308758	110.320655852	55.155491	55.165164	1054851652	526010582	528841070	300134734	69.73048670923444	69.90482997545475	69.55707657122773	94.34091038866445	94.78643469064912	93.89777064276292	79.42496114325657	80.43327908309394	78.42203997002981	40.919747835486795	41.157095403161804	40.68367061060518	1.9263573557116143	1.8704084188510377	1.982285061882951	1.0089713610252267	1.0049072710312466	1.0005501584369654	1.0173474912576823	0.9538746554003789	1.0556667475011337	0.021846105048333373	0.02170222499440135	0.02198921502068665	75.0	75.0	75.0		2505667119	2.2.1.2035424704
20250923_AV251604_3511_JB_ANALYSIS	3511_JB	2025-09-23T15:12:42.991339306Z	AV251604	AMB5678_Pool1 - LDHM - 2 X 75 - High	49	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.0	76	76	10	10	135.702859615	69.071142	66.631718	133.771513474	68.087424	65.684089	904746774	460512515	444234259	1539131	98.5766262594046	98.5756410984835	98.57764751997662	93.44939579966936	93.29330201156422	93.6112093957166	78.50343888229953	78.1399681005412	78.88022847122798	40.607531918641946	40.527938998950624	40.69004139394841	2.250276718377491	2.299932201816309	2.1988027366418907	0.994050596768842	1.3959005054321583	0.967925184458016	1.021133333151563	1.4687277298060644	1.320404643558757	0.03345278576257184	0.034175401291754254	0.03270369113967862	75.0	75.0	75.0		2505473127	2.2.1.2035424704
20250924_AV251604_3512_Dyfi_ANALYSIS	3512_Dyfi	2025-09-24T18:50:23.333746611Z	AV251604		5	High	300Cycles	Elevate	Cloudbreak	False	Linear	3.4.1	151	151	12	9	349.277757772	176.177304	173.100454	344.220624826	173.163964	171.056661	1164431893	587299593	577132300	6481223	98.55192346573764	98.28937579393147	98.81909641862013	92.80348739239946	92.3293494325079	93.28597820234054	80.3566457092337	80.19469969222335	80.52144471611334	41.40153995423357	41.223965643301014	41.58224257742405	2.916431083367402	4.604068963135449	1.208268194404836	0.7363183503098163	2.3063986070673383	0.6975435856642878	0.7757762068445999	4.0349851457879735	0.5473596992538134	0.04010642467004294	0.042913702478932246	0.03724969127529338	150.0	150.0	150.0		2506419349	2.2.1.2035424704
20251008_AV251604_3514_JB_ANALYSIS	3514_JB	2025-10-08T14:28:44.834906857Z	AV251604	2x75 high Pool R1 short insert LDHM	97	High	150Cycles	ThirdParty	CloudbreakFS	True	Linear	3.4.1	76	76	10	10	143.599457109	73.426787	70.172670	141.750749764	72.494696	69.256054	957412224	489522533	467889691	844558	98.71224737987052	98.73028255473584	98.69337835015476	92.70742586424299	92.89396015470719	92.51226717595424	76.81469290633721	77.05170303433884	76.56672463424718	40.23391686698721	40.30950138887001	40.15483770085173	1.9539576520403064	1.8594577301573423	2.052863740082822	0.9543526805757642	1.121530819187114	0.9199676776859296	0.990327471291647	1.0537265569804102	1.1924700059699707	0.031501268987348965	0.031162201883769055	0.03185601283102431	75.0	75.0	75.0		2509589219	2.2.1.2035424704
